city,country,lat,lon,temp,humidity,cloudiness,wind speed
Deputatsky,RU,69.3,139.9,-12.28,85,0,0.92
Hermanus,ZA,-34.42,19.23,66.99,85,50,11.99
San Patricio,US,28.02,-97.52,76.41,47,20,10.29
Lebu,CL,-37.62,-73.65,57.02,73,2,7.09
Mandalgovi,MN,45.76,106.27,24.85,78,0,8.81
Grand Gaube,MU,-20.01,57.66,70.0,70,54,3.0
Viedma,AR,-40.81,-63.0,84.99,28,95,13.0
Rocha,UY,-34.48,-54.33,63.7,65,0,11.72
Hong Kong,HK,22.29,114.16,67.59,77,100,10.0
Brodick,GB,55.58,-5.15,42.75,81,40,6.93
Mumbai,IN,19.01,72.85,82.4,69,0,5.7
Kyaukse,MM,21.6,96.13,77.0,88,75,3.36
Kandrian,PG,-6.22,149.55,78.24,84,98,2.42
Baghdad,IQ,33.34,44.4,73.4,40,100,2.24
Caravelas,BR,-17.71,-39.25,66.0,91,100,6.64
Mangan,IN,27.52,88.53,62.73,41,57,6.82
Egvekinot,RU,66.32,-179.17,6.17,81,0,7.25
Betong,TH,5.77,101.07,71.56,93,100,1.79
Ürümqi,CN,43.8,87.6,39.2,44,0,2.24
Shitkino,RU,56.37,98.35,27.05,96,100,5.79
Broome,US,42.25,-75.83,40.08,69,90,13.87
Matata,NZ,-37.88,176.75,63.34,92,100,3.0
Capinzal,BR,-27.34,-51.61,68.45,57,80,0.54
São Francisco do Sul,BR,-26.24,-48.64,60.78,88,11,5.99
Lüderitz,NA,-26.65,15.16,60.01,88,0,4.23
Esperance,AU,-33.87,121.9,51.8,93,40,3.36
Metro,ID,-5.11,105.31,74.57,90,90,4.81
Havelock,US,34.88,-76.9,63.48,35,0,5.01
Makakilo City,US,21.35,-158.09,80.76,69,1,5.82
Yulara,AU,-25.24,130.99,80.6,36,40,10.29
Touros,BR,-5.2,-35.46,84.2,66,20,18.34
Saint-Joseph,RE,-21.37,55.62,65.03,56,90,10.29
Ende,ID,-8.84,121.66,78.64,79,97,1.97
Port Lincoln,AU,-34.73,135.87,57.36,77,100,12.77
Airai,TL,-8.93,125.41,61.0,82,54,1.79
Tazovsky,RU,67.47,78.7,9.27,96,100,2.35
Belyy Yar,RU,53.6,91.39,32.0,98,75,4.47
Atuona,PF,-9.8,-139.03,78.01,71,4,17.65
Torbay,CA,47.67,-52.73,43.12,81,90,16.11
Saskylakh,RU,71.92,114.08,-1.84,92,95,3.78
Bambous Virieux,MU,-20.34,57.76,70.84,68,75,8.05
Brae,GB,60.4,-1.35,48.2,76,100,29.97
Port Keats,AU,-14.25,129.55,82.69,75,100,8.48
Clyde River,CA,70.47,-68.59,14.0,92,90,36.91
Longyearbyen,SJ,78.22,15.64,30.2,74,40,25.28
Bāsār,IN,27.98,94.67,62.89,92,20,1.77
Ancud,CL,-41.87,-73.82,60.42,59,75,14.99
Trincomalee,LK,8.57,81.23,80.85,79,100,3.27
Cidreira,BR,-30.18,-50.21,65.55,68,4,12.08
Mahon,ES,39.89,4.27,62.6,88,75,13.87
Garmsār,IR,35.22,52.34,59.88,30,0,4.09
Athabasca,CA,54.72,-113.29,56.25,47,79,2.3
Morondava,MG,-20.28,44.28,77.54,84,30,10.31
Codrington,AU,-38.27,141.97,57.74,95,100,8.84
Ewo,CG,-0.87,14.82,73.56,89,78,2.35
Bonthe,SL,7.53,-12.51,79.99,83,29,5.3
Dikson,RU,73.51,80.55,3.42,91,0,7.92
Oussouye,SN,12.48,-16.55,85.12,74,0,4.7
Calabozo,VE,8.92,-67.43,84.33,70,16,5.35
Isangel,VU,-19.55,169.27,75.52,85,100,10.36
Uthal,PK,25.81,66.62,70.45,40,0,1.92
Port Elizabeth,ZA,-33.92,25.57,66.2,93,3,5.82
Ponta do Sol,PT,32.67,-17.1,63.32,68,75,20.8
Mar del Plata,AR,-38.0,-57.56,62.02,72,20,20.8
Norman Wells,CA,65.28,-126.83,-2.2,84,40,2.24
Aykhal,RU,66.0,111.5,1.4,91,90,2.66
Mayo,US,38.89,-76.51,61.41,36,1,8.05
Khatanga,RU,71.97,102.5,2.62,94,90,4.27
Nikolskoye,RU,59.7,30.79,49.32,81,40,8.95
Okakarara,NA,-20.58,17.43,80.04,16,25,15.43
Huilong,CN,31.81,121.66,56.75,65,6,7.99
Chekhov,RU,55.14,37.47,45.0,92,4,5.7
Batticaloa,LK,7.71,81.69,79.86,80,94,4.9
Skjervøy,NO,70.03,20.97,41.0,69,40,14.99
Qaqortoq,GL,60.72,-46.03,41.0,75,75,19.46
Padang,ID,-0.95,100.35,75.45,83,100,5.32
Terney,RU,45.05,136.61,25.59,84,76,12.66
Dingle,PH,11.0,122.67,75.69,90,100,3.0
Mareeba,AU,-17.0,145.43,68.94,83,40,8.05
Fairbanks,US,64.84,-147.72,-24.05,74,20,0.74
High Level,CA,58.52,-117.14,17.6,85,75,8.05
Geraldton,AU,-28.77,114.6,57.2,82,0,10.29
Srednekolymsk,RU,67.45,153.68,-7.67,82,11,5.77
Chumphon,TH,10.33,98.83,72.07,100,94,1.05
Tuatapere,NZ,-46.13,167.68,52.0,90,1,1.99
Hofn,IS,64.25,-15.21,42.42,62,2,10.67
Esil,KZ,51.96,66.4,28.65,95,5,1.79
Ulaangom,MN,49.98,92.07,26.29,95,100,1.03
Mineiros,BR,-17.57,-52.55,78.6,44,92,8.48
Solnechnyy,RU,50.72,136.63,20.46,92,92,1.88
Concordia,AR,-31.39,-58.02,78.91,44,40,16.11
Muros,ES,42.78,-9.06,48.99,82,61,11.77
Kaseda-shirakame,JP,31.42,130.32,56.12,68,9,18.52
Aquiraz,BR,-3.9,-38.39,82.4,74,75,13.87
Nome,US,64.5,-165.41,22.62,92,75,9.17
Avarua,CK,-21.21,-159.78,75.2,83,93,9.17
Sisimiut,GL,66.94,-53.67,36.28,81,56,14.5
Ibrā’,OM,22.69,58.53,59.29,53,0,1.16
São Filipe,CV,14.9,-24.5,79.7,68,59,10.6
Whitehorse,CA,60.72,-135.05,3.31,71,75,5.82
Kruisfontein,ZA,-34.0,24.73,64.0,93,7,1.99
Sur,OM,22.57,59.53,71.22,53,0,7.16
Harper,LR,4.38,-7.72,79.39,85,17,8.7
Kaeo,NZ,-35.1,173.78,66.0,92,100,7.0
Huarmey,PE,-10.07,-78.15,69.13,66,59,9.95
Pacific Grove,US,36.62,-121.92,62.55,67,1,3.22
Alofi,NU,-19.06,-169.92,75.2,88,6,16.11
Nadym,RU,65.53,72.52,24.4,98,100,8.19
Vol'sk,RU,52.03,47.38,45.52,64,99,4.94
Mogadishu,SO,2.04,45.34,79.43,83,46,10.63
Port Blair,IN,11.67,92.75,80.67,80,60,3.09
Los Llanos de Aridane,ES,28.66,-17.92,69.48,73,40,17.22
Saint-Philippe,RE,-21.36,55.77,63.21,56,90,10.29
Coahuayana Viejo,MX,18.73,-103.68,84.2,39,5,9.17
Mocuba,MZ,-16.84,36.99,75.24,87,0,4.12
Puerto Madryn,AR,-42.77,-65.04,79.54,26,68,9.6
Necochea,AR,-38.55,-58.74,75.99,46,39,15.01
Abonnema,NG,4.71,6.79,78.8,88,40,3.36
Yeppoon,AU,-23.13,150.73,68.0,77,90,5.82
Homer,US,59.64,-151.55,18.73,44,1,6.93
Maloyaroslavets,RU,55.01,36.47,46.0,93,88,5.01
São Gabriel,BR,-30.34,-54.32,70.75,61,1,11.3
Ushirombo,TZ,-3.49,31.96,71.65,63,22,3.51
Kaduy,RU,59.2,37.15,42.8,100,90,11.18
Cayenne,GF,4.93,-52.33,84.2,74,75,10.29
Monaghan,IE,54.25,-6.97,39.79,93,0,5.82
Bathsheba,BB,13.22,-59.52,84.2,70,40,18.34
Yangi Marg`ilon,UZ,40.43,71.72,42.8,45,0,6.93
Ustrzyki Dolne,PL,49.43,22.59,52.0,97,100,0.92
Eyl,SO,7.98,49.82,78.91,77,12,17.74
Hamilton,US,39.18,-84.53,63.19,31,1,11.41
Karakol,KG,42.49,78.39,34.23,67,0,5.12
Hammerfest,NO,70.66,23.68,42.8,75,75,19.46
Nianzishan,CN,47.52,122.88,20.79,77,0,7.78
Chicama,PE,-7.84,-79.15,64.4,77,0,11.41
Bengkulu,ID,-3.8,102.27,75.2,87,72,4.05
Upernavik,GL,72.79,-56.15,19.31,89,100,15.14
Hilo,US,19.73,-155.09,77.45,83,90,6.93
Tessalit,ML,20.2,1.01,79.56,17,100,8.16
Ouallam,NE,14.32,2.09,87.28,22,5,7.49
Kota Belud,MY,6.35,116.43,77.0,94,20,4.7
Riberalta,BO,-10.98,-66.1,91.4,55,75,2.91
Sokoni,TZ,-6.43,39.55,76.35,83,20,3.36
Narsaq,GL,60.92,-46.05,41.0,75,75,19.46
Ukiah,US,39.15,-123.21,70.36,25,1,4.72
Daru,PG,-9.08,143.21,79.63,85,100,15.01
Severo-Kuril'sk,RU,50.68,156.12,41.72,84,26,11.41
Churāchāndpur,IN,24.33,93.67,63.1,98,99,1.59
Cherskiy,RU,68.75,161.3,-7.06,86,0,4.29
Vallenar,CL,-28.57,-70.76,78.04,32,0,10.25
Lamu,KE,-2.27,40.9,78.8,83,20,5.82
Balikpapan,ID,-1.27,116.83,75.09,87,95,4.61
Ossora,RU,59.24,163.07,40.1,86,100,17.74
Poum,NC,-20.23,164.02,77.22,79,100,12.12
Talnakh,RU,69.49,88.4,-7.6,83,40,2.24
Safi,MA,32.3,-9.24,67.08,86,58,14.97
Esna,EG,25.29,32.55,75.2,44,0,3.36
Nanortalik,GL,60.14,-45.24,39.79,81,100,17.83
Kaitangata,NZ,-46.28,169.85,55.99,74,0,5.99
Zeya,RU,53.75,127.27,9.63,84,0,4.27
Banfora,BF,10.63,-4.77,81.68,50,61,2.73
Gamba,GA,-2.65,10.0,77.7,89,19,7.74
Jumla,NP,29.27,82.18,41.45,63,0,5.06
Havre-St-Pierre,CA,50.23,-63.6,26.6,49,1,11.41
Bethel,US,41.37,-73.41,46.29,49,1,9.17
Constitución,CL,-35.33,-72.42,62.56,63,12,14.83
Dwārka,IN,22.24,68.97,80.8,59,0,14.16
‘Ewa Beach,US,21.32,-158.01,80.89,69,1,5.82
Huanren,CN,41.26,125.37,23.74,78,0,1.99
Loandjili,CG,-4.76,11.86,80.6,83,75,9.17
Saint Paul Harbor,US,57.79,-152.41,24.8,53,90,9.17
Yar-Sale,RU,66.83,70.83,24.98,98,100,7.78
Jipijapa,EC,-1.33,-80.58,84.2,62,40,17.22
Aswān,EG,24.09,32.91,71.71,37,0,11.43
Camacha,PT,33.08,-16.33,66.2,63,40,12.75
Adrar,MR,20.5,-10.07,84.38,15,0,7.11
Sabang,ID,5.89,95.32,81.1,78,84,7.72
Lagoa,PT,39.05,-27.98,61.52,71,13,21.63
Torit,SS,4.41,32.57,76.75,55,72,4.07
Husavik,IS,66.04,-17.34,37.4,69,20,9.17
São Félix do Xingu,BR,-6.64,-51.99,80.08,91,100,2.66
Rehoboth,NA,-23.32,17.08,66.22,34,100,10.4
Pangody,RU,65.85,74.49,23.7,98,100,7.7
Cartagena,CO,10.4,-75.51,87.8,66,20,8.05
Cabo San Lucas,MX,22.89,-109.91,85.89,70,40,9.17
Mahébourg,MU,-20.41,57.7,71.6,68,75,8.05
Pangnirtung,CA,66.15,-65.71,28.4,50,75,10.29
Lompoc,US,34.64,-120.46,64.8,63,1,3.36
Aksarka,RU,66.56,67.8,26.29,99,100,8.16
Adré,TD,13.47,22.2,79.72,22,6,16.13
Zhetysay,KZ,40.73,68.3,45.12,50,0,0.63
Faanui,PF,-16.48,-151.75,79.29,82,88,20.09
Inhambane,MZ,-23.86,35.38,75.09,78,0,3.36
La Asuncion,VE,11.03,-63.86,95.0,50,76,16.11
Ust'-Barguzin,RU,53.45,108.98,27.84,94,99,0.36
Netivot,IL,31.42,34.59,64.26,100,13,5.99
Sawākin,SD,19.11,37.33,84.72,66,3,6.17
Rome,US,43.21,-75.46,36.54,51,90,14.99
Katakwi,UG,1.89,33.97,71.4,64,29,6.22
Nishihara,JP,26.18,127.76,69.6,49,40,16.11
Kuytun,RU,54.34,101.5,27.91,99,100,2.64
Ibimirim,BR,-8.54,-37.69,84.15,51,84,3.85
Port Hardy,CA,50.7,-127.42,51.8,87,90,16.11
Kiamba,PH,5.99,124.62,78.06,69,60,3.47
Karlstad,SE,59.38,13.5,44.6,93,73,8.05
Provideniya,RU,64.38,-173.3,15.3,88,0,9.08
Katsuura,JP,35.13,140.3,55.15,50,0,20.8
Bon Air,US,37.52,-77.56,61.07,39,0,5.19
Coquimbo,CL,-29.95,-71.34,57.2,82,90,13.87
Hasaki,JP,35.73,140.83,49.21,66,20,10.29
Northam,GB,51.03,-4.22,46.0,82,19,7.0
Mahanoro,MG,-19.9,48.8,71.1,76,94,2.73
Missoula,US,47.02,-113.8,41.0,80,1,4.72
Anadyr,RU,64.75,177.48,-0.4,84,0,11.18
Xingyi,CN,24.19,102.82,49.14,90,100,2.8
Umm Kaddadah,SD,13.6,26.69,84.83,19,85,22.91
Esmeralda,CU,21.85,-78.12,75.2,100,75,12.75
Tres Arroyos,AR,-38.37,-60.28,74.17,47,81,16.08
Channel-Port aux Basques,CA,47.57,-59.14,35.1,82,99,10.92
Ierapetra,GR,35.01,25.74,66.99,69,100,4.0
Westport,US,41.14,-73.36,49.86,46,20,11.41
Lorengau,PG,-2.02,147.27,81.07,76,96,3.62
Bonavista,CA,48.65,-53.11,41.79,65,100,8.05
Semporna,MY,4.48,118.61,75.2,94,20,1.12
Totana,ES,37.77,-1.5,65.03,84,53,8.03
Vysokogornyy,RU,50.12,139.15,15.03,92,100,12.12
Salalah,OM,17.02,54.09,75.2,47,0,2.24
Rabak,SD,13.18,32.74,89.24,22,68,12.82
Emba,KZ,48.83,58.14,45.39,56,0,10.51
Ostrovnoy,RU,68.05,39.51,37.87,88,25,14.34
São João da Barra,BR,-21.64,-41.05,75.2,64,75,20.8
Ugoofaaru,MV,5.67,73.0,82.51,69,6,1.81
Nindirí,NI,12.0,-86.12,78.8,88,40,9.17
Mount Isa,AU,-20.73,139.5,78.8,34,23,9.17
Izazi,TZ,-7.2,35.73,68.0,56,20,5.82
Mitzic,GA,0.78,11.55,70.93,97,100,3.06
Jaciara,BR,-15.97,-54.97,89.04,38,69,4.68
George,ZA,-33.96,22.46,66.2,93,68,5.82
Chulym,RU,55.1,80.96,27.48,96,100,9.01
Vila Franca do Campo,PT,37.72,-25.43,60.8,59,75,11.41
Baykit,RU,61.67,96.37,15.4,93,97,4.7
Polunochnoye,RU,60.87,60.42,30.52,93,44,8.84
Marsá Maţrūḩ,EG,31.35,27.25,66.2,68,20,5.82
Datong,CN,40.09,113.29,34.61,68,0,3.42
Waitati,NZ,-45.75,170.57,55.99,80,0,10.0
Khorixas,NA,-20.37,14.97,69.01,33,94,9.62
Mil'kovo,RU,54.72,158.62,35.96,93,100,10.31
Ābyek,IR,36.07,50.55,59.92,25,40,6.93
Sohag,EG,26.56,31.69,73.4,43,0,10.29
Murray Bridge,AU,-35.12,139.27,56.07,94,98,7.0
Bobrovka,RU,54.05,61.75,30.92,91,0,8.79
Hanzhong,CN,33.07,107.03,54.27,61,97,1.03
Mount Gambier,AU,-37.83,140.77,55.4,100,90,12.75
Sātkhira,BD,22.72,89.1,75.2,73,7,3.36
Nerchinskiy Zavod,RU,51.31,119.61,9.61,87,54,2.75
Alberton,CA,46.82,-64.07,32.0,88,100,16.11
Guayaramerín,BO,-10.84,-65.36,93.2,52,20,8.05
Petropavlovsk-Kamchatskiy,RU,53.05,158.65,46.4,100,90,22.37
Tevaitoa,PF,-16.78,-151.5,80.15,80,75,20.8
Verkhnevilyuysk,RU,63.45,120.32,7.68,95,98,3.06
Vila,PT,42.03,-8.16,46.99,80,19,8.99
Ericeira,PT,38.96,-9.42,55.96,79,0,25.97
Pennāgaram,IN,12.13,77.9,71.4,90,5,2.84
Keti Bandar,PK,24.14,67.45,77.54,59,0,9.01
Siparia,TT,10.13,-61.5,84.38,81,100,1.99
Richards Bay,ZA,-28.78,32.04,72.19,85,99,12.28
Maracás,BR,-13.44,-40.43,64.9,96,98,6.24
Santa Rosa,PH,14.31,121.11,79.84,83,75,3.36
Pirovskoye,RU,57.63,92.27,26.62,98,100,6.62
San Rafael,AR,-34.62,-68.33,91.63,13,23,20.04
Terrasini,IT,38.15,13.08,60.24,77,0,3.36
Tiznit Province,MA,29.58,-9.5,68.49,35,98,0.54
Shenjiamen,CN,29.96,122.3,58.68,64,78,16.33
Bhuban,IN,20.88,85.83,73.72,62,0,2.17
Sucúa,EC,-2.47,-78.17,75.2,64,40,8.05
Kosai,JP,34.71,137.53,50.0,69,0,13.0
Grindavik,IS,63.84,-22.43,41.0,75,75,8.05
Bilibino,RU,68.05,166.44,-14.26,86,0,2.37
Valleyview,CA,55.07,-117.29,48.2,61,100,8.05
Porto-Novo,BJ,6.5,2.6,82.4,78,20,9.17
Aksha,RU,50.28,113.29,22.32,90,80,3.53
Kendari,ID,-3.94,122.5,73.54,93,100,3.11
Healdsburg,US,38.61,-122.87,70.14,71,1,3.49
Simao,CN,22.79,100.97,62.58,95,95,1.9
Sibolga,ID,1.74,98.78,74.91,91,100,4.05
Xiaoyi,CN,34.62,109.7,53.13,44,94,2.73
Kozulka,UA,50.04,23.8,55.2,100,90,4.47
De-Kastri,RU,51.47,140.78,25.05,91,100,11.83
Erenhot,CN,43.65,111.98,33.75,72,12,9.89
Khasan,RU,42.43,130.64,33.04,74,0,19.39
Berriozábal,MX,16.8,-93.27,80.6,54,20,23.04
Luleå,SE,65.58,22.15,39.2,80,0,5.82
Al Bardīyah,LY,31.76,25.09,68.43,71,19,10.63
Bougouni,ML,11.42,-7.48,83.62,40,78,4.29
Cotonou,BJ,6.37,2.42,82.4,78,20,9.17
Pisco,PE,-13.7,-76.22,70.48,60,0,8.05
Comodoro Rivadavia,AR,-45.87,-67.5,68.0,60,0,5.82
Port-Cartier,CA,50.03,-66.87,25.27,53,87,10.29
Vila Velha,BR,-20.33,-40.29,71.82,78,40,3.36
Aitape,PG,-3.14,142.35,80.19,82,100,9.44
Menongue,AO,-14.66,17.69,71.91,57,88,3.0
Santiago,CL,-33.46,-70.65,88.16,17,0,6.93
Kushima,JP,31.46,131.23,48.79,61,0,7.05
Sept-Îles,CA,50.2,-66.38,25.12,53,88,10.29
Grootfontein,NA,-19.57,18.12,80.38,24,84,0.67
Saint Anthony,US,45.02,-93.22,71.13,28,1,9.17
Ayagoz,KZ,47.97,80.44,28.11,97,0,8.93
Gondanglegi,ID,-7.75,112.01,74.77,81,95,1.59
Bungu,TZ,-7.63,39.06,72.55,87,2,5.53
Ondjiva,AO,-17.07,15.73,81.75,18,5,6.29
Fortuna,US,40.6,-124.16,59.0,51,20,6.93
Río Gallegos,AR,-51.62,-69.22,59.0,54,40,16.11
Cumana,VE,10.46,-64.18,95.0,50,54,16.11
Nhulunbuy,AU,-12.23,136.77,73.4,83,97,7.0
Sehithwa,BW,-20.47,22.72,71.29,55,100,10.56
Kawalu,ID,-7.38,108.21,72.64,90,76,1.79
Camagüey,CU,21.38,-77.92,75.2,100,75,12.75
Lata,PT,40.16,-8.33,56.97,75,0,1.99
Skowhegan,US,44.77,-69.72,33.35,61,100,3.0
Peniche,PT,39.36,-9.38,57.36,77,0,15.01
Sungai Penuh,ID,-2.08,101.38,64.67,95,100,2.08
Hargeisa,SO,9.56,44.06,63.39,75,0,7.56
São José da Coroa Grande,BR,-8.9,-35.15,79.39,76,0,12.82
Tondano,ID,1.3,124.91,75.2,94,20,1.52
San Quintín,MX,30.48,-115.95,73.36,57,100,12.71
Tabou,CI,4.42,-7.35,79.57,84,30,7.61
Kiunga,PG,-6.12,141.29,73.47,98,100,1.61
Sola,VU,-13.88,167.55,81.3,75,100,7.76
Venice,US,27.1,-82.45,77.95,47,1,19.46
Manitouwadge,CA,49.12,-85.84,43.36,70,40,5.82
Khandyga,RU,62.67,135.6,-8.52,88,94,1.48
Bari,IT,41.12,16.85,57.13,93,100,4.7
Pasni,PK,25.26,63.47,73.71,46,0,11.12
Magway,MM,20.15,94.92,76.14,85,0,4.07
Vágur,FO,61.47,-6.81,44.35,76,86,37.31
Lichtenburg,ZA,-26.15,26.16,65.52,51,64,6.42
Longa,CD,2.84,24.68,72.12,97,100,2.82
Asău,RO,46.43,26.4,46.99,98,100,0.54
Lucapa,AO,-8.42,20.74,68.81,93,98,2.71
Mazamari,PE,-11.33,-74.53,80.6,65,36,2.46
Malbork,PL,54.04,19.03,43.02,100,0,1.21
Naze,JP,28.37,129.48,66.2,72,90,24.16
Ishigaki,JP,24.34,124.16,72.77,74,91,31.34
Atherton,GB,53.52,-2.49,42.39,87,42,3.62
Arlit,NE,18.74,7.39,80.15,16,70,11.07
Ust-Kuyga,RU,70.02,135.6,-9.42,87,64,2.98
Maniitsoq,GL,65.42,-52.9,37.83,90,100,54.13
São Geraldo do Araguaia,BR,-6.4,-48.55,76.82,85,100,3.91
Zhangye,CN,38.93,100.45,35.87,67,0,3.74
Palm Coast,US,29.59,-81.21,71.02,49,1,6.93
Batagay,RU,67.63,134.63,-16.44,84,21,1.16
Topola,RS,44.25,20.68,59.0,93,40,0.69
Taoudenni,ML,22.68,-3.98,79.63,17,24,4.34
Batouri,CM,4.43,14.37,70.39,94,100,2.77
Ahtopol,BG,42.1,27.95,55.18,71,75,6.93
Zhigansk,RU,66.77,123.37,-0.02,91,97,2.1
Samarai,PG,-10.62,150.67,80.49,80,78,8.25
Piritiba,BR,-11.73,-40.56,72.03,87,80,6.02
Antalaha,MG,-14.9,50.28,70.84,88,75,8.32
Galveston,US,29.37,-94.97,71.74,43,1,9.17
Kavaratti,IN,10.57,72.64,82.69,70,0,3.89
Aguadas,CO,5.61,-75.46,66.58,64,40,9.17
Acarí,PE,-15.43,-74.62,72.77,55,53,9.51
Hwange,ZW,-18.37,26.5,71.82,72,100,9.04
Visby,SE,57.64,18.3,49.33,87,0,14.99
Sitka,US,57.05,-135.33,37.4,70,20,3.36
Jijiga,ET,9.35,42.8,60.53,54,0,4.5
Kuril'sk,RU,45.23,147.88,44.37,83,100,11.5
Lhokseumawe,ID,5.18,97.15,77.99,83,100,5.03
Koungou,YT,-12.73,45.2,77.0,83,0,5.82
Guerrero Negro,MX,27.98,-114.06,80.6,45,3,12.91
Kayerkan,RU,69.35,87.76,-7.6,83,40,2.24
Sarankhola,BD,22.31,89.79,74.75,93,83,4.32
Sembakung,ID,3.82,117.25,74.07,97,100,2.26
Carutapera,BR,-1.2,-46.02,83.62,69,13,7.0
Owando,CG,-0.48,15.9,73.89,91,87,2.64
Motril,ES,36.75,-3.52,58.6,55,100,2.46
Yenagoa,NG,4.92,6.26,76.68,93,100,4.38
Sørland,NO,67.67,12.69,46.4,81,40,28.86
Motygino,RU,58.18,94.76,26.01,98,100,5.5
Lipin Bor,RU,60.26,37.98,43.93,91,100,13.67
Flinders,AU,-34.58,150.86,56.73,90,21,1.01
Dudinka,RU,69.41,86.18,-7.6,83,40,2.24
Zhezkazgan,KZ,47.8,67.71,32.7,92,0,9.35
